offset,radius,height,variant,auc,med_free,med_clash
-2.0,20.0,50.0,plain,0.8817827918475843,7.0,24.0
4.0,20.0,30.0,plain,0.8817794480393316,0.0,13.0
-2.0,20.0,40.0,plain,0.8817580828644962,7.0,24.0
-2.0,20.0,30.0,plain,0.8816449213536299,7.0,24.0
-6.0,12.0,50.0,aware1,0.8814158528893319,3.0,13.0
-6.0,12.0,40.0,aware1,0.8813853010412971,3.0,13.0
-2.0,18.0,50.0,plain,0.8812985732146176,6.0,22.0
-2.0,18.0,40.0,plain,0.8812761521003339,6.0,22.0
-6.0,12.0,30.0,aware1,0.8812501055939448,3.0,13.0
-2.0,18.0,30.0,plain,0.8811960766921781,6.0,22.0
2.0,14.0,50.0,aware1,0.8803371755450056,0.0,10.0
2.0,14.0,40.0,aware1,0.8803358028237229,0.0,10.0
2.0,14.0,30.0,aware1,0.8803229203624547,0.0,10.0
-2.0,12.0,50.0,aware1,0.8795565547089268,1.0,10.0
-2.0,12.0,40.0,aware1,0.8795446929891252,1.0,10.0
4.0,18.0,50.0,plain,0.8795078407023827,0.0,12.0
4.0,18.0,40.0,plain,0.8795065031790817,0.0,12.0
-2.0,12.0,30.0,aware1,0.8794979500695512,1.0,10.0
4.0,18.0,30.0,plain,0.8794962957644157,0.0,12.0
2.0,16.0,50.0,plain,0.8788324970292903,1.0,13.0
2.0,16.0,40.0,plain,0.8788291180230561,1.0,13.0
2.0,16.0,30.0,plain,0.8788011356276786,1.0,13.0
4.0,16.0,50.0,aware1,0.8784648189134242,0.0,10.0
4.0,16.0,40.0,aware1,0.8784634813901232,0.0,10.0
4.0,16.0,30.0,aware1,0.8784532387774755,0.0,10.0
-4.0,14.0,50.0,plain,0.8778927461183665,4.0,17.0
-4.0,14.0,40.0,plain,0.877871662527384,4.0,17.0
-4.0,14.0,30.0,plain,0.8777733545647558,4.0,17.0
-4.0,18.0,50.0,plain,0.8774792050324666,9.0,26.0
-4.0,18.0,40.0,plain,0.8774469988792962,9.0,26.0
-4.0,18.0,30.0,plain,0.8772889951398627,9.0,26.0
-4.0,20.0,50.0,plain,0.8771922006904436,11.0,29.0
-4.0,20.0,40.0,plain,0.877152849347007,11.0,29.0
-2.0,16.0,50.0,plain,0.8769861517061166,5.0,18.0
-4.0,20.0,30.0,plain,0.8769622170786239,11.0,29.0
-2.0,16.0,40.0,plain,0.8769597532199114,5.0,18.0
-2.0,16.0,30.0,plain,0.8768939681922879,5.0,18.0
4.0,16.0,50.0,plain,0.8754532444091526,0.0,10.0
4.0,16.0,40.0,plain,0.8754515197080539,0.0,10.0
4.0,16.0,30.0,plain,0.8754404323438477,0.0,10.0
-2.0,14.0,50.0,plain,0.875229878017875,2.0,15.0
-2.0,14.0,40.0,plain,0.8752194594153193,2.0,15.0
-2.0,14.0,30.0,plain,0.8751496618177927,2.0,15.0
0.0,12.0,50.0,aware1,0.8744117009354215,0.0,9.0
0.0,12.0,40.0,aware1,0.8744072307917575,0.0,9.0
0.0,12.0,30.0,aware1,0.8743703081090518,0.0,9.0
0.0,14.0,50.0,plain,0.8740745746675903,2.0,13.0
0.0,14.0,40.0,plain,0.8740683798228275,2.0,13.0
0.0,14.0,30.0,plain,0.8740310347643425,2.0,13.0
-4.0,16.0,50.0,plain,0.8738852447245266,7.0,22.0
-4.0,16.0,40.0,plain,0.8738550096583262,7.0,22.0
-4.0,16.0,30.0,plain,0.8737158016410707,7.0,22.0
2.0,14.0,50.0,plain,0.8710666607534058,1.0,11.0
2.0,14.0,40.0,plain,0.8710651824381783,1.0,11.0
2.0,14.0,30.0,plain,0.871048639386823,1.0,11.0
4.0,14.0,50.0,aware1,0.870243943131325,0.0,8.0
4.0,14.0,40.0,aware1,0.8702430279838033,0.0,8.0
4.0,14.0,30.0,aware1,0.8702371851188565,0.0,8.0
-6.0,14.0,50.0,plain,0.8672896709411095,6.0,21.0
-6.0,14.0,40.0,plain,0.8672561272646382,6.0,21.0
-6.0,14.0,30.0,plain,0.867038709332252,6.0,21.0
4.0,14.0,50.0,plain,0.8667157326530267,0.0,9.0
4.0,14.0,40.0,plain,0.8667147471095418,0.0,9.0
4.0,14.0,30.0,plain,0.8667074611273491,0.0,9.0
-4.0,12.0,50.0,plain,0.8664396044873203,2.0,13.0
-4.0,12.0,40.0,plain,0.8664205623792709,2.0,13.0
-4.0,12.0,30.0,plain,0.8663408389509312,2.0,13.0
2.0,12.0,50.0,aware1,0.8661325372957813,0.0,8.0
2.0,12.0,40.0,aware1,0.8661306718027562,0.0,8.0
2.0,12.0,30.0,aware1,0.8661185636970834,0.0,8.0
-2.0,12.0,50.0,plain,0.8655821816553751,1.0,11.0
-2.0,12.0,40.0,plain,0.8655692639961254,1.0,11.0
-2.0,12.0,30.0,plain,0.8655134399972968,1.0,11.0
2.0,12.0,50.0,plain,0.8628537045171681,0.0,8.0
2.0,12.0,40.0,plain,0.8628508886786396,0.0,8.0
2.0,12.0,30.0,plain,0.8628363167142543,0.0,8.0
-6.0,18.0,50.0,plain,0.8628058352621827,13.0,31.0
-6.0,18.0,40.0,plain,0.8627622249629717,13.0,31.0
-6.0,20.0,50.0,plain,0.8627221344619214,16.0,35.0
-6.0,20.0,40.0,plain,0.8626735612473039,16.0,35.0
-6.0,18.0,30.0,plain,0.8624522011409778,13.0,31.0
-6.0,20.0,30.0,plain,0.8622905368114571,16.0,35.0
-6.0,12.0,50.0,plain,0.8619906852061475,3.0,15.0
